bodyType,brand,color,fuelType,modelDate,name,name_full,numberOfDoors,productionDate,vehicleConfiguration,vehicleTransmission,engineDisplacement,enginePower,description,mileage,equipment,drive,wheel,state,owners,pts,customs,owningTime,price
хэтчбек 3 дв.,bmw,белый,бензин,2007,116i 1.6 AT (115 л.с.),BMW 1 серия  I (E81/E82/E87/E88) Рестайлинг 116i,3,2011,HATCHBACK_3_DOORS AUTOMATIC 1.6,автоматическая,1.6 LTR,115 N12,"Продаю автомобиль, состояние для своих лет отличное . Масло ,и все расходники менялись во время. Все работает все исправно. Два комплекта ключей , зимняя резина. Продаю всвязи с покупкой нового автомобиля . Любые проверки за ваш счёт. Перекуры и автосалоны не тратьте своё и мое время.",101 000 км,"{'Прочее': ['Защита картера'], 'Салон': ['Тонированные стекла', 'Регулировка передних сидений по высоте', 'Передний центральный подлокотник', 'Складывающееся заднее сиденье', 'Ткань (Материал салона)', 'Количество мест: 5', 'Подогрев передних сидений', 'Отделка кожей рулевого колеса'], 'Безопасность': ['Система стабилизации (ESP)', 'Подушка безопасности водителя', 'Подушка безопасности пассажира', 'Подушки безопасности боковые', 'Антиблокировочная система (ABS)'], 'Мультимедиа': ['AUX', 'Аудиосистема'], 'Комфорт': ['Электростеклоподъёмники передние', 'Бортовой компьютер', 'Усилитель руля', 'Электропривод зеркал', 'Электростеклоподъёмники задние', 'Кондиционер', 'Регулировка руля по вылету', 'Регулировка руля по высоте'], 'Защита от угона': ['Центральный замок', 'Иммобилайзер']}",задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,450000
хэтчбек 5 дв.,bmw,красный,бензин,2011,116i 1.6 AT (136 л.с.),BMW 1 серия  II (F20/F21) 116i,5,2013,HATCHBACK_5_DOORS AUTOMATIC 1.6,автоматическая,1.6 LTR,136 N12,"Продаю свой личный автомобиль 2013 года. Машина немецкой сборки. Пробег родной, подтверждённый. Реально 3 собственника (в птс 2 физ лица, другие записи - Юрлица второго собственника, я третий собственник). В серьёзных ДТП машина не участвовала. Два ключа, два комплекта резины. Я ездила аккуратно, поэтому за время моего владения с машиной ничего не случалось.Автомобиль ухоженный и обслуженный. ТО проходила вовремя, фильтры, масло, свечи и пр. Из недавнего - заменила передние амортизаторы.Причина продажи - покупка новой машины побольше. В срочной продаже не нуждаюсь, поэтому просьба к автосалонам и перекупщикам- не звоните. Машина в состоянии сел и поехал.Торг только у капота.",160 000 км,{},задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,590000
хэтчбек 5 дв.,bmw,серый,дизель,2007,120d 2.0d AT (177 л.с.),BMW 1 серия  I (E81/E82/E87/E88) Рестайлинг 120d,5,2008,HATCHBACK_5_DOORS AUTOMATIC 2.0,автоматическая,2.0 LTR,177 N12,"Пришло время продавать машину на которой 4 года я ездил с душой и сердцем.  Покупал ее я на один год, но настолько проникся любовью к ней, что так и не хотелось менять. Рассказываю все по порядку: Эта машина не просто рядовая единичка. А топовая дизельная версия , которых на рынке с гулькин нос. Здесь вы не встретите тряпочный салон и механику. Тут отменная немецкая кожа, серого цвета, которая чувствует себя очень бодро и прям радует внешним видом. Серая панель и двери - шик блеск Красота.Внешний м пакет , м руль затянутый в карбон предыдущем владельцем (хз зачем), м накладки на педали, Подсветка ручек, круиз контроль. Колёса разноширокие , на каких то блатных дисках , не помню названия и нумерацию, но ценители по фоткам поймут, что это не просто так. Переходим к динамике, кто ездил на дизельной двух литровой 120 тот понимает, что это вообще за зверь. Надежнейший мотор N47 молотит дай Боже, по паспорту 7 с чем то секунд до сотки, динамика просто космос. Кстати, я взял себе бмв 420д с младшим братом этого мотора и это причина продажи моей единички. Из плюсов могу сказать, что девчонки визжат от восторга в этой тачке, но при этом не ассоциируют меня с фильмом бумер. Пробег намотан по трассам : Москва - Питер и Москва - Сергиев Посад. Всем интересны минусы, хотелось бы сказать, что их нет, но они есть и не мало:кузов , кузов и ещё раз кузов. 1) Бампера под покраску, передний с восстановлением крепления справа2) правое крыло крашено, предыдущим владельцем3) капот тоже крашен, но на нем сколы ну и по машине есть сколы, поэтому их нужно подкрасить4) на лобовухе трещина , его надо менять5) вчера перегорела левая фара, лампочку нужно заменить, так как я уже купил новую машину то не хочу это делать6) зимнюю резину я вам не отдам, потому что возьму ее себе на новый аппарат7) багажник открывается только с ключа Ну минусов много, но они все честные и по мелочиЧто менял:1) шкив коленвала (3к назад)2) ролики и приводной ремень (3к назад)3) насос гура и бочек гура4) подвеска там даже не стоит говорить, за четыре года менял по мере появления стука или каких либо сигналов 5) прокладку клапанной крышки 6) уплотнительные колечки под форсунки с болтами. (Кстати, форсунки не сопливят, отлично себя чуят)7) свечи накала и блок управления ими8) зеркала боковые, плохо грели зимой поменял тоже9) ну и в итоге машину поменял 10) масло каждые 7к , лил Мобил 5в30. Масло не хавает11) дизель Лукойл Осмотр можно провести у меня около дома , пишите звоните договариваться будем.С продажей не спешу, но хочется закрыть этот вопрос побыстрее, поэтому реальному покупателю с наличкой в руках пойду на встречу по каким то вопросам. Помощь в продаже не нужна, в Салоны не поставлю.",233 378 км,"{'Прочее': ['Защита картера'], 'Комфорт': ['Круиз-контроль', 'Электростеклоподъёмники передние', 'Мультифункциональное рулевое колесо', 'Усилитель руля', 'Электропривод зеркал', 'Электростеклоподъёмники задние', 'Запуск двигателя с кнопки', 'Регулировка руля по вылету', 'Регулировка руля по высоте', 'Климат-контроль 2-зонный', 'Парктроник задний'], 'Салон': ['Тонированные стекла', 'Регулировка передних сидений по высоте', 'Передний центральный подлокотник', 'Декоративная подсветка салона', 'Складывающееся заднее сиденье', 'Накладки на пороги', 'Отделка кожей рычага КПП', 'Кожа (Материал салона)', 'Подогрев передних сидений', 'Отделка кожей рулевого колеса', 'Светлый салон', 'Декоративные накладки на педали', 'Третий задний подголовник'], 'Безопасность': ['Система стабилизации (ESP)', 'Подушка безопасности водителя', 'Крепление детского кресла (задний ряд) ISOFIX', 'Подушка безопасности пассажира', 'Подушки безопасности боковые задние', 'Подушки безопасности боковые', 'Датчик давления в шинах', 'Антиблокировочная система (ABS)', 'Блокировка замков задних дверей', 'Подушка безопасности для защиты коленей водителя'], 'Мультимедиа': ['AUX', 'Навигационная система', 'Bluetooth', 'Розетка 12V'], 'Защита от угона': ['Центральный замок', 'Датчик проникновения в салон (датчик объема)', 'Иммобилайзер'], 'Обзор': ['Дневные ходовые огни', 'Противотуманные фары', 'Датчик дождя'], 'Элементы экстерьера': ['Диски 17']}",задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,3 года и 11 месяцев,485000
кабриолет,bmw,красный,бензин,2007,120i 2.0 AT (156 л.с.),BMW 1 серия  I (E81/E82/E87/E88) Рестайлинг 120i,2,2009,CABRIO AUTOMATIC 2.0,автоматическая,2.0 LTR,156 N12,Автомобиль 2009 года. Куплен в 2011 году в Автодоме. Там же при покупке был установлен М пакет. 2 хозяина (хотя формально 3. внутри семьи была смена собственника) Исключительно летняя эксплуатация. Хранения в тёплом паркинге с первого дня. Оригинальный пробег 36.000 тысяч. Авто в идеале. ПЕРЕКУПЩИКАМ И ПОМОЩНИКАМ НЕ БЕСПОКОИТЬ ! ! !,36 000 км,{},задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,1150000
хэтчбек 3 дв.,bmw,красный,бензин,2007,118i 2.0 AT (136 л.с.),BMW 1 серия  I (E81/E82/E87/E88) Рестайлинг 118i,3,2008,HATCHBACK_3_DOORS AUTOMATIC 2.0,автоматическая,2.0 LTR,136 N12,"Продам свой автомобиль - bmw 1 2008 года.Состояние я бы оценил на отлично. Ездит каждый день, вложений не требует.Двигатель без нареканий, масло не ест, не дымит. работает тихо. Цепь заменена.Коробка не пинает, не дёргает.Подвеска не гремит, никаких посторонних звуков нет.Кондиционер заправлен и работает))По кузову все видно на фото. Ничего критичного, из недостатков только маленькие сколы.В подарок зимняя резина на дисках)По документам все чисто, штрафов и запретов нет. На учёте на мне.Отличный автомобиль за эти деньги. Звоните, приезжайте, смотрите.Обмен не интересует.",222 400 км,{},задний,Левый,Не требует ремонта,3 или более,Оригинал,Растаможен,,367000
хэтчбек 5 дв.,bmw,белый,бензин,2015,118i 1.5 AT (136 л.с.),BMW 1 серия  II (F20/F21) Рестайлинг 118i,5,2017,HATCHBACK_5_DOORS AUTOMATIC 1.5,автоматическая,1.5 LTR,136 N12,"Внимание! Только для клиентов AVILON Автомобили с пробегом мы предлагаем специальную кредитную программу «Гарантия минимального ежемесячного платежа».Условия кредитования:• Первоначальный взнос от 30%.• Размер процентной ставки после снижения/перерасчета в конце срока кредита 9,9%.• Срок кредита – от 60 до 72 месяцев (от 5 до 6 лет).Увеличенная дополнительная скидка при:1.Обмене своего автомобиля на наш по системе трейд-ин2.Оформлении кредита по сниженной ставки от банка-партнёра3.Оформлении страхового полисаВсе скидки и спецпредложения СУММИРУЮТСЯ!    Автомобиль BMW 1 серия от AVILON АВТОМОБИЛИ С ПРОБЕГОМ – это: • Обслуживание и предпродажная подготовка только на сертифицированных сервисных станциях с предоставлением официальной диагностики. • Обязательная юридическая проверка автомобиля, что обеспечивает полную прозрачность сервисной истории и исключает наличие финансового обременения.Купи или продай любой авто официально в AVILON АВТОМОБИЛИ С ПРОБЕГОМ.Вы можете зачесть свою машину и получить дополнительную скидку.Также действует программа льготного кредитования от банка-партнёра от 11,9%. Позвоните нам и все узнайте подробнее!    #cme44-ТИ-UY08051. Уникальный код автомобиля: [hfaohbb:16851]",90 000 км,"{'Комфорт': ['Круиз-контроль', 'Мультифункциональное рулевое колесо', 'Бортовой компьютер', 'Усилитель руля', 'Электропривод зеркал', 'Запуск двигателя с кнопки', 'Парктроник передний', 'Регулировка руля по высоте', 'Климат-контроль 2-зонный', 'Парктроник задний'], 'Салон': ['Тонированные стекла', 'Передний центральный подлокотник', 'Ткань (Материал салона)', 'Тёмный салон', 'Обогрев рулевого колеса', 'Подогрев передних сидений'], 'Безопасность': ['Система стабилизации (ESP)', 'Подушка безопасности водителя', 'Подушка безопасности пассажира', 'Подушки безопасности боковые', 'Антиблокировочная система (ABS)'], 'Мультимедиа': ['USB', 'Аудиоподготовка', 'Bluetooth'], 'Обзор': ['Датчик света', 'Автоматический корректор фар', 'Противотуманные фары', 'Датчик дождя', 'Электрообогрев боковых зеркал', 'Светодиодные фары'], 'Защита от угона': ['Центральный замок'], 'Элементы экстерьера': ['Легкосплавные диски', 'Диски 16']}",задний,Левый,Не требует ремонта,1 владелец,Оригинал,Растаможен,,1194000
хэтчбек 5 дв.,bmw,чёрный,бензин,2015,118i 1.5 AT (136 л.с.),BMW 1 серия  II (F20/F21) Рестайлинг 118i,5,2017,HATCHBACK_5_DOORS AUTOMATIC 1.5,автоматическая,1.5 LTR,136 N12,"Внимание! Только для клиентов AVILON Автомобили с пробегом мы предлагаем специальную кредитную программу «Гарантия минимального ежемесячного платежа».Условия кредитования:• Первоначальный взнос от 30%.• Размер процентной ставки после снижения/перерасчета в конце срока кредита 9,9%.• Срок кредита – от 60 до 72 месяцев (от 5 до 6 лет).Увеличенная дополнительная скидка при:1.Обмене своего автомобиля на наш по системе трейд-ин2.Оформлении кредита по сниженной ставки от банка-партнёра3.Оформлении страхового полисаВсе скидки и спецпредложения СУММИРУЮТСЯ!    Автомобиль BMW 1 серия от AVILON АВТОМОБИЛИ С ПРОБЕГОМ – это: • Обслуживание и предпродажная подготовка только на сертифицированных сервисных станциях с предоставлением официальной диагностики. • Обязательная юридическая проверка автомобиля, что обеспечивает полную прозрачность сервисной истории и исключает наличие финансового обременения.Купи или продай любой авто официально в AVILON АВТОМОБИЛИ С ПРОБЕГОМ.Вы можете зачесть свою машину и получить дополнительную скидку.Также действует программа льготного кредитования от банка-партнёра от 11,9%. Позвоните нам и все узнайте подробнее!    #cme44-ТИ-UY07952. Уникальный код автомобиля: [hfaohbf:74155]",32 451 км,"{'Комфорт': ['Круиз-контроль', 'Мультифункциональное рулевое колесо', 'Бортовой компьютер', 'Усилитель руля', 'Электропривод зеркал', 'Запуск двигателя с кнопки', 'Парктроник передний', 'Регулировка руля по высоте', 'Климат-контроль 2-зонный', 'Парктроник задний'], 'Безопасность': ['Система стабилизации (ESP)', 'Подушка безопасности водителя', 'Подушки безопасности оконные (шторки)', 'Подушка безопасности пассажира', 'Подушки безопасности боковые', 'Антиблокировочная система (ABS)'], 'Мультимедиа': ['USB', 'Аудиосистема', 'Bluetooth', 'Розетка 12V'], 'Обзор': ['Датчик света', 'Автоматический корректор фар', 'Противотуманные фары', 'Датчик дождя', 'Электрообогрев боковых зеркал'], 'Салон': ['Передний центральный подлокотник', 'Ткань (Материал салона)', 'Тёмный салон', 'Обогрев рулевого колеса', 'Подогрев передних сидений', 'Третий задний подголовник'], 'Защита от угона': ['Сигнализация', 'Центральный замок', 'Иммобилайзер'], 'Элементы экстерьера': ['Легкосплавные диски', 'Диски 16']}",задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,,1243000
хэтчбек 5 дв.,bmw,чёрный,бензин,2007,116i 1.6 AT (115 л.с.),BMW 1 серия  I (E81/E82/E87/E88) Рестайлинг 116i,5,2010,HATCHBACK_5_DOORS AUTOMATIC 1.6,автоматическая,1.6 LTR,115 N12,"Продаю машину BMW 116i в отличном состоянии. Хетчбек - 5 дверей.Изготовитель Германия. Куплен у официального дилера.Оригинальный ПТС. 2 владельца (водили девушки).Своевременно обслуживался у официального дилера.Пробег реальный, ездили немного и аккуратно.В ДТП не участвовал. В салоне не курили. Шины всесезонные. 2 комплекта ключей.Дополнительно установлены на передний и задний бампер парктроники.Хорошая шустрая машинка, ездить приятно, проблем не доставляла вообще, на момент пользования мной, т.е. вторым владельцем, никаких вложений не требовала, кроме стандартных ежегодных замены масла и фильтров.Подробности по телефону и при осмотре.Торг уместен.Перекупщиков и дилеров прошу не беспокоить!",69 492 км,"{'Салон': ['Отделка кожей рычага КПП', 'Обогрев рулевого колеса', 'Передний центральный подлокотник', 'Подогрев передних сидений', 'Отделка кожей рулевого колеса'], 'Безопасность': ['Подушка безопасности водителя', 'Подушка безопасности пассажира'], 'Мультимедиа': ['USB', 'Аудиосистема', 'Bluetooth'], 'Комфорт': ['Парктроник передний', 'Кондиционер', 'Регулировка руля по высоте', 'Парктроник задний'], 'Прочее': ['Полноразмерное запасное колесо']}",задний,Левый,Не требует ремонта,2 владельца,Оригинал,Растаможен,5 лет и 1 месяц,619000
хэтчбек 3 дв.,bmw,чёрный,бензин,2007,116i 1.6 AT (115 л.с.),BMW 1 серия  I (E81/E82/E87/E88) Рестайлинг 116i,3,2008,HATCHBACK_3_DOORS AUTOMATIC 1.6,автоматическая,1.6 LTR,115 N12,"Автомобиль в отличном состоянии. Вложений никаких не требует. Двигатель обычный атмосферник, работает ровно, без лишнего шума. Коробка классический и надёжный автомат переключается без рывков и каких либо пинков, масло менялось 5000 км назад. Ходовая полностью обслужена без единого постороннего шума. По электрике работает все. Очень богатая и редкая комплектация для копейки: двух зонный климат контроль, спортивные сиденья с боковой поддержкой, спортивный мульти руль, отделка салона алюминий, спортивная ходовая М, пакет Dynamic. Салон чистый и ухоженный. Летняя резина в очень хорошем состоянии. Целая куча заказ нарядов, пробег родной на автомобиле. Состояние полностью как на фото, так и в живую. Кто хочет живую бмв, то добро пожаловать. Звонить можно в любое время. Торг уместен.",142 000 км,"{'Прочее': ['Защита картера'], 'Безопасность': ['Антипробуксовочная система (ASR)', 'Система стабилизации (ESP)', 'Подушка безопасности водителя', 'Крепление детского кресла (задний ряд) ISOFIX', 'Подушки безопасности оконные (шторки)', 'Подушка безопасности пассажира', 'Система помощи при торможении (BAS, EBD)', 'Подушки безопасности боковые задние', 'Подушки безопасности боковые', 'Антиблокировочная система (ABS)', 'Подушка безопасности для защиты коленей водителя'], 'Салон': ['Тонированные стекла', 'Спортивные передние сиденья', 'Регулировка передних сидений по высоте', 'Передний центральный подлокотник', 'Передние сиденья с поясничной поддержкой', 'Ткань (Материал салона)', 'Отделка кожей рычага КПП', 'Подогрев передних сидений', 'Отделка кожей рулевого колеса'], 'Мультимедиа': ['AUX', 'Аудиосистема', 'Розетка 12V'], 'Комфорт': ['Электростеклоподъёмники передние', 'Мультифункциональное рулевое колесо', 'Бортовой компьютер', 'Активный усилитель руля', 'Электропривод зеркал', 'Электростеклоподъёмники задние', 'Регулировка руля по вылету', 'Регулировка руля по высоте', 'Климат-контроль 2-зонный', 'Парктроник задний'], 'Защита от угона': ['Центральный замок', 'Датчик проникновения в салон (датчик объема)', 'Иммобилайзер'], 'Элементы экстерьера': ['Легкосплавные диски', 'Диски 16']}",задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,12 лет и 4 месяца,403000
купе,bmw,красный,бензин,2007,135i 3.0 AT (306 л.с.),BMW 1 серия  I (E81/E82/E87/E88) Рестайлинг 135i,2,2008,COUPE AUTOMATIC 3.0,автоматическая,3.0 LTR,306 N12,"М пакет,logic 7, люк, память сидений,климат 2 зонный,подвеска М, тормоза М перфоманс. Рассмотрю вариант обмена на ml63amg. На 140 тыс была замена цепи, замена ваносов. 5 тыс км назад была замена помпы. Турбины сухие,тнвд,форсунки обслужены(12 ревизия) новый аккум. Коробка на гарантии, стартер и генератор также на гарантии. Заменено масло в двигателе,акпп,редукторе. Салон не затерт. Комплектация топ для бмв 1серии. На обмен 900",219 000 км,"{'Комфорт': ['Круиз-контроль', 'Мультифункциональное рулевое колесо', 'Прикуриватель и пепельница', 'Электропривод зеркал', 'Подрулевые лепестки переключения передач', 'Парктроник передний', 'Парктроник задний', 'Система «старт-стоп»', 'Электростеклоподъёмники передние', 'Бортовой компьютер', 'Система доступа без ключа', 'Программируемый предпусковой отопитель', 'Усилитель руля', 'Запуск двигателя с кнопки', 'Климат-контроль 2-зонный', 'Электроскладывание зеркал'], 'Безопасность': ['Антипробуксовочная система (ASR)', 'Подушка безопасности пассажира', 'Подушка безопасности для защиты коленей водителя', 'Подушки безопасности боковые задние', 'Подушки безопасности боковые', 'Датчик давления в шинах', 'Антиблокировочная система (ABS)'], 'Салон': ['Тонированные стекла', 'Спортивные передние сиденья', 'Передний центральный подлокотник', 'Люк', 'Тёмный салон', 'Функция складывания спинки сиденья пассажира', 'Кожа (Материал салона)', 'Память передних сидений', 'Регулировка сиденья водителя по высоте', 'Складывающееся заднее сиденье', 'Электрорегулировка передних сидений', 'Отделка кожей рычага КПП', 'Подогрев передних сидений', 'Отделка кожей рулевого колеса'], 'Обзор': ['Система адаптивного освещения', 'Ксеноновые/Биксеноновые фары', 'Электрообогрев форсунок стеклоомывателей', 'Электрообогрев боковых зеркал', 'Датчик света', 'Автоматический корректор фар', 'Система управления дальним светом', 'Омыватель фар', 'Противотуманные фары', 'Датчик дождя', 'Электрообогрев лобового стекла'], 'Мультимедиа': ['Навигационная система', 'Bluetooth', 'Розетка 12V'], 'Защита от угона': ['Центральный замок', 'Сигнализация', 'Иммобилайзер'], 'Элементы экстерьера': ['Диски 18', 'Стальные диски'], 'Прочее': ['Защита картера']}",задний,Левый,Не требует ремонта,3 или более,Дубликат,Растаможен,,799000
