iter	Passed	Remaining
423	2225	13522
424	2229	13505
425	2232	13488
426	2236	13479
427	2240	13463
428	2243	13445
429	2247	13430
430	2250	13413
431	2253	13397
432	2258	13387
433	2260	13367
434	2264	13352
435	2268	13340
436	2271	13324
437	2275	13308
438	2279	13295
439	2282	13279
440	2285	13264
441	2290	13256
442	2293	13238
443	2296	13222
444	2301	13214
445	2304	13198
446	2308	13186
447	2312	13172
448	2315	13157
449	2320	13148
450	2324	13138
451	2327	13120
452	2331	13106
453	2334	13092
454	2337	13077
455	2342	13065
456	2345	13051
457	2349	13037
458	2353	13026
459	2356	13012
460	2360	12998
461	2363	12986
462	2368	12976
463	2371	12960
464	2374	12946
465	2378	12933
466	2381	12918
467	2387	12916
468	2391	12906
469	2395	12895
470	2399	12881
471	2403	12870
472	2406	12856
473	2409	12839
474	2413	12827
475	2416	12813
476	2420	12803
477	2424	12794
478	2428	12780
479	2431	12765
480	2436	12757
481	2439	12744
482	2443	12731
483	2446	12720
484	2452	12715
485	2455	12701
486	2458	12687
487	2461	12673
488	2465	12658
489	2469	12650
490	2473	12639
491	2476	12625
492	2480	12612
493	2483	12596
494	2486	12582
495	2490	12573
496	2493	12559
497	2497	12547
498	2501	12539
499	2505	12525
500	2508	12511
501	2511	12499
502	2514	12484
503	2518	12471
504	2521	12458
505	2525	12446
506	2529	12435
507	2533	12429
508	2537	12419
509	2541	12406
510	2544	12393
511	2548	12383
512	2552	12373
513	2555	12362
514	2559	12348
515	2562	12334
516	2566	12324
517	2569	12313
518	2573	12301
519	2576	12288
520	2579	12273
521	2585	12272
522	2589	12262
523	2592	12249
524	2596	12240
525	2600	12232
526	2604	12222
527	2608	12213
528	2612	12201
529	2617	12198
530	2621	12188
531	2624	12175
532	2627	12162
533	2631	12150
534	2634	12136
535	2637	12125
536	2640	12111
537	2643	12099
538	2647	12087
539	2651	12079
540	2655	12070
541	2659	12061
542	2662	12047
543	2666	12038
544	2669	12027
545	2672	12013
546	2676	12002
547	2679	11989
548	2685	11988
549	2689	11979
550	2692	11967
551	2695	11953
552	2699	11944
553	2702	11932
554	2706	11925
555	2710	11913
556	2713	11901
557	2717	11891
558	2720	11880
559	2724	11869
560	2727	11855
561	2730	11844
562	2734	11838
563	2738	11827
564	2741	11814
565	2744	11804
566	2748	11792
567	2751	11782
568	2755	11773
569	2759	11764
570	2762	11751
571	2765	11740
572	2769	11728
573	2772	11718
574	2776	11707
575	2778	11693
576	2783	11689
577	2788	11684
578	2792	11676
579	2796	11667
580	2800	11660
581	2804	11651
582	2807	11640
583	2810	11628
584	2815	11620
585	2818	11610
586	2822	11600
587	2826	11593
588	2829	11582
589	2833	11572
590	2836	11561
591	2840	11551
592	2843	11542
593	2848	11538
594	2852	11529
595	2855	11519
596	2859	11509
597	2862	11499
598	2866	11490
599	2870	11480
600	2873	11471
601	2877	11462
602	2880	11451
603	2885	11445
604	2891	11446
605	2897	11447
606	2904	11449
607	2910	11449
608	2916	11450
609	2922	11450
610	2927	11448
611	2932	11444
612	2938	11442
613	2943	11437
614	2948	11433
615	2953	11428
616	2958	11425
617	2963	11423
618	2970	11424
619	2973	11414
620	2979	11413
621	2985	11414
622	2991	11412
623	2995	11407
624	3000	11403
625	3004	11394
626	3008	11384
627	3011	11373
628	3015	11365
629	3018	11355
630	3021	11345
631	3025	11334
632	3029	11329
633	3032	11317
634	3036	11307
635	3039	11297
636	3042	11287
637	3047	11282
638	3050	11271
639	3054	11261
640	3057	11250
641	3060	11241
642	3065	11237
643	3068	11227
644	3073	11220
645	3077	11214
646	3083	11213
647	3087	11207
648	3093	11205
649	3097	11200
650	3103	11198
651	3109	11198
652	3115	11196
653	3120	11194
654	3126	11192
655	3131	11187
656	3136	11185
657	3142	11184
658	3147	11182
659	3152	11177
660	3156	11169
661	3159	11159
662	3164	11153
663	3166	11141
664	3170	11132
665	3174	11123
666	3177	11114
667	3181	11108
668	3185	11100
669	3190	11093
670	3193	11084
671	3197	11078
672	3201	11071
673	3204	11060
674	3208	11050
675	3211	11040
676	3214	11031
677	3218	11021
678	3221	11012
679	3224	11002
680	3228	10995
681	3232	10986
682	3235	10977
683	3238	10966
684	3241	10956
685	3247	10955
686	3252	10949
687	3257	10947
688	3263	10945
689	3267	10940
690	3273	10939
691	3279	10937
692	3286	10941
693	3292	10939
694	3298	10939
695	3304	10939
696	3309	10936
697	3316	10936
698	3321	10935
699	3327	10932
700	3332	10928
701	3337	10925
702	3342	10922
703	3347	10917
704	3353	10915
705	3358	10911
706	3362	10906
707	3366	10897
708	3369	10888
709	3373	10879
710	3378	10877
711	3383	10871
712	3386	10863
713	3390	10854
714	3395	10851
715	3398	10841
716	3402	10833
717	3405	10825
718	3410	10820
719	3413	10810
720	3417	10801
721	3420	10791
722	3423	10782
723	3427	10776
724	3431	10767
725	3435	10759
726	3439	10752
727	3443	10746
728	3446	10736
729	3449	10725
730	3452	10717
731	3456	10710
732	3460	10702
733	3464	10694
734	3468	10688
735	3472	10681
736	3478	10679
737	3483	10677
738	3488	10673
739	3493	10669
740	3498	10666
741	3504	10663
742	3509	10659
743	3514	10657
744	3519	10654
745	3525	10652
746	3530	10646
747	3535	10644
748	3541	10643
749	3545	10637
750	3549	10629
751	3553	10621
752	3556	10612
753	3559	10602
754	3563	10595
755	3566	10587
756	3570	10579
757	3573	10571
758	3579	10569
759	3583	10562
760	3587	10554
761	3590	10545
762	3595	10541
763	3598	10532
764	3601	10522
765	3605	10514
766	3609	10509
767	3613	10502
768	3618	10496
769	3621	10489
770	3625	10481
771	3628	10471
772	3631	10462
773	3634	10453
774	3638	10446
775	3642	10438
776	3645	10430
777	3649	10422
778	3653	10417
779	3659	10415
780	3664	10411
781	3669	10406
782	3672	10398
783	3678	10396
784	3682	10391
785	3686	10382
786	3689	10373
787	3693	10367
788	3696	10359
789	3700	10352
790	3703	10343
791	3706	10334
792	3710	10325
793	3713	10318
794	3717	10311
795	3721	10303
796	3724	10294
797	3727	10286
798	3731	10279
799	3734	10271
800	3737	10261
801	3741	10253
802	3744	10244
803	3748	10237
804	3751	10230
805	3755	10221
806	3759	10216
807	3762	10207
808	3766	10199
809	3769	10192
810	3773	10184
811	3777	10178
812	3781	10172
813	3784	10163
814	3788	10155
815	3792	10150
816	3795	10141
817	3799	10134
818	3803	10128
819	3807	10122
820	3810	10114
821	3814	10107
822	3817	10098
823	3820	10090
824	3825	10086
825	3829	10078
826	3832	10070
827	3835	10062
828	3838	10052
829	3843	10047
830	3846	10039
831	3849	10031
832	3853	10024
833	3858	10020
834	3861	10012
835	3864	10004
836	3868	9998
837	3872	9989
838	3878	9989
839	3881	9981
840	3885	9974
841	3889	9968
842	3893	9961
843	3896	9953
844	3900	9946
845	3903	9939
846	3907	9933
847	3911	9925
848	3914	9918
849	3918	9911
850	3922	9905
851	3926	9899
852	3930	9892
853	3933	9885
854	3936	9876
855	3941	9871
856	3944	9863
857	3948	9857
858	3951	9849
859	3954	9841
860	3958	9835
861	3961	9824
862	3964	9817
863	3968	9811
864	3971	9802
865	3975	9796
866	3979	9791
867	3984	9786
868	3987	9778
869	3991	9773
870	3995	9767
871	4000	9761
872	4003	9753
873	4006	9746
874	4009	9738
875	4013	9732
876	4017	9724
877	4021	9718
878	4024	9712
879	4028	9704
880	4032	9698
881	4035	9690
882	4039	9685
883	4042	9677
884	4046	9670
885	4051	9666
886	4055	9660
887	4058	9653
888	4062	9646
889	4066	9641
890	4069	9632
891	4073	9626
892	4078	9623
893	4084	9621
894	4089	9617
895	4092	9610
896	4096	9604
897	4100	9598
898	4104	9591
899	4109	9588
900	4112	9581
901	4116	9574
902	4119	9566
903	4123	9560
904	4126	9552
905	4130	9546
906	4134	9540
907	4139	9536
908	4142	9529
909	4146	9522
910	4149	9515
911	4153	9510
912	4157	9503
913	4161	9497
914	4165	9492
915	4169	9485
916	4172	9478
917	4176	9471
918	4180	9466
919	4183	9459
920	4188	9455
921	4191	9447
922	4195	9441
923	4199	9435
924	4203	9428
925	4206	9422
926	4210	9416
927	4214	9410
928	4218	9403
929	4222	9398
930	4225	9390
931	4229	9385
932	4233	9378
933	4236	9371
934	4240	9364
935	4244	9358
936	4248	9354
937	4251	9346
938	4256	9341
939	4259	9334
940	4262	9327
941	4266	9321
942	4270	9315
943	4275	9311
944	4279	9306
945	4282	9299
946	4287	9295
947	4290	9287
948	4294	9280
949	4297	9274
950	4301	9267
951	4305	9262
952	4308	9254
953	4312	9248
954	4316	9242
955	4321	9239
956	4324	9231
957	4328	9225
958	4331	9218
959	4335	9211
960	4338	9204
961	4341	9197
962	4344	9190
963	4348	9183
964	4351	9176
965	4355	9171
966	4358	9163
967	4363	9158
968	4366	9151
969	4369	9145
970	4374	9140
971	4378	9134
972	4381	9127
973	4385	9123
974	4390	9118
975	4394	9112
976	4397	9105
977	4400	9098
978	4404	9092
979	4407	9085
980	4411	9080
981	4415	9073
982	4419	9067
983	4423	9062
984	4427	9056
985	4430	9050
986	4433	9042
987	4438	9038
988	4441	9031
989	4446	9026
990	4449	9019
991	4453	9014
992	4456	9008
993	4460	9002
994	4464	8995
995	4467	8988
996	4472	8985
997	4476	8980
998	4480	8975
999	4484	8968
1000	4488	8963
1001	4492	8957
1002	4495	8950
1003	4498	8944
1004	4503	8939
1005	4506	8932
1006	4510	8926
1007	4514	8921
1008	4517	8914
1009	4521	8908
1010	4524	8900
1011	4528	8896
1012	4532	8890
1013	4537	8886
1014	4540	8879
1015	4544	8873
1016	4547	8866
1017	4550	8859
1018	4553	8852
1019	4557	8846
1020	4561	8842
1021	4565	8836
1022	4568	8829
1023	4573	8824
1024	4578	8821
1025	4581	8814
1026	4586	8810
1027	4589	8804
1028	4593	8798
1029	4596	8791
1030	4599	8784
1031	4604	8780
1032	4608	8774
1033	4611	8768
1034	4614	8761
1035	4619	8757
1036	4622	8750
1037	4626	8745
1038	4630	8739
1039	4634	8734
1040	4638	8728
1041	4641	8721
1042	4645	8715
1043	4648	8709
1044	4653	8705
1045	4656	8698
1046	4661	8694
1047	4664	8688
1048	4669	8684
1049	4672	8677
1050	4677	8673
1051	4680	8667
1052	4683	8660
1053	4687	8654
1054	4692	8651
1055	4696	8645
1056	4702	8644
1057	4705	8637
1058	4709	8632
1059	4713	8626
1060	4722	8629
1061	4730	8632
1062	4736	8630
1063	4741	8627
1064	4747	8625
1065	4755	8627
1066	4760	8623
1067	4764	8619
1068	4770	8616
1069	4775	8613
1070	4779	8608
1071	4784	8604
1072	4788	8599
1073	4793	8596
1074	4798	8592
1075	4802	8586
1076	4805	8580
1077	4809	8575
1078	4813	8568
1079	4816	8563
1080	4819	8556
1081	4823	8549
1082	4827	8544
1083	4829	8537
1084	4834	8533
1085	4838	8527
1086	4841	8521
1087	4845	8514
1088	4849	8510
1089	4853	8504
1090	4856	8498
1091	4860	8492
1092	4865	8488
1093	4869	8484
1094	4872	8477
1095	4876	8471
1096	4879	8464
1097	4883	8460
1098	4887	8453
1099	4890	8447
1100	4894	8441
1101	4899	8438
1102	4902	8432
1103	4906	8426
1104	4909	8419
1105	4912	8412
1106	4917	8409
1107	4920	8402
1108	4924	8396
1109	4928	8391
1110	4932	8386
1111	4935	8380
1112	4938	8373
1113	4942	8367
1114	4945	8360
1115	4950	8357
1116	4953	8350
1117	4957	8345
1118	4961	8340
1119	4967	8338
1120	4971	8333
1121	4975	8327
1122	4978	8321
1123	4982	8316
1124	4986	8310
1125	4990	8305
1126	4994	8300
1127	4998	8295
1128	5002	8289
1129	5006	8284
1130	5009	8278
1131	5013	8272
1132	5016	8267
1133	5020	8260
1134	5024	8255
1135	5027	8249
1136	5030	8243
1137	5034	8237
1138	5038	8231
1139	5042	8226
1140	5047	8223
1141	5050	8216
1142	5053	8210
1143	5057	8205
1144	5060	8197
1145	5063	8191
1146	5068	8188
1147	5072	8183
1148	5075	8177
1149	5080	8173
1150	5084	8167
1151	5088	8162
1152	5092	8157
1153	5096	8151
1154	5101	8148
1155	5105	8143
1156	5108	8138
1157	5113	8134
1158	5117	8128
1159	5120	8122
1160	5124	8117
1161	5129	8113
1162	5133	8108
1163	5137	8103
1164	5140	8097
1165	5145	8092
1166	5148	8087
1167	5151	8080
1168	5155	8075
1169	5159	8069
1170	5163	8065
1171	5167	8059
1172	5170	8053
1173	5174	8048
1174	5177	8042
1175	5181	8036
1176	5184	8030
1177	5189	8025
1178	5192	8019
1179	5196	8014
1180	5199	8008
1181	5203	8002
1182	5207	7998
1183	5211	7993
1184	5215	7988
1185	5219	7983
1186	5223	7977
1187	5226	7971
1188	5231	7968
1189	5234	7962
1190	5238	7957
1191	5242	7951
1192	5246	7946
1193	5249	7940
1194	5253	7934
1195	5256	7929
1196	5262	7926
1197	5266	7922
1198	5270	7917
1199	5273	7910
1200	5277	7904
1201	5281	7899
1202	5284	7894
1203	5289	7889
1204	5292	7883
1205	5296	7879
1206	5300	7873
1207	5303	7867
1208	5307	7861
1209	5311	7857
1210	5314	7851
1211	5317	7845
1212	5321	7840
1213	5325	7834
1214	5329	7829
1215	5333	7824
1216	5337	7820
1217	5341	7814
1218	5344	7808
1219	5348	7803
1220	5351	7797
1221	5355	7791
1222	5358	7785
1223	5364	7783
1224	5367	7777
1225	5370	7771
1226	5374	7766
1227	5379	7762
1228	5383	7756
1229	5386	7751
1230	5389	7745
1231	5393	7740
1232	5397	7734
1233	5400	7728
1234	5404	7723
1235	5407	7717
1236	5412	7713
1237	5415	7707
1238	5418	7700
1239	5421	7695
1240	5424	7689
1241	5429	7685
1242	5432	7679
1243	5437	7674
1244	5440	7668
1245	5444	7664
1246	5447	7658
1247	5450	7652
1248	5454	7646
1249	5457	7641
1250	5463	7638
1251	5466	7632
1252	5470	7627
1253	5473	7621
1254	5478	7617
1255	5481	7611
1256	5485	7606
1257	5488	7600
1258	5493	7596
1259	5496	7590
1260	5499	7584
1261	5503	7579
1262	5506	7573
1263	5511	7568
1264	5514	7563
1265	5517	7557
1266	5521	7552
1267	5526	7548
1268	5530	7543
1269	5533	7538
1270	5538	7533
1271	5541	7527
1272	5545	7523
1273	5547	7516
1274	5550	7509
1275	5554	7504
